1 epoch, LR 0.001000, LOSS 4.64381, ACC 41.32%, minDCF 0.4670%, EER 12.67%, bestEER 12.67%
2 epoch, LR 0.000970, LOSS 4.42499, ACC 43.75%, minDCF 0.4603%, EER 12.63%, bestEER 12.63%
3 epoch, LR 0.000941, LOSS 4.24204, ACC 45.65%, minDCF 0.4738%, EER 12.77%, bestEER 12.63%
4 epoch, LR 0.000913, LOSS 4.11088, ACC 46.93%, minDCF 0.4659%, EER 12.75%, bestEER 12.63%
5 epoch, LR 0.000859, LOSS 4.04665, ACC 47.98%, minDCF 0.4559%, EER 12.62%, bestEER 12.62%
6 epoch, LR 0.000859, LOSS 3.99138, ACC 48.82%, minDCF 0.4620%, EER 12.59%, bestEER 12.59%
7 epoch, LR 0.000833, LOSS 3.91948, ACC 49.71%, minDCF 0.4456%, EER 12.31%, bestEER 12.31%
8 epoch, LR 0.000808, LOSS 3.87994, ACC 50.34%, minDCF 0.4454%, EER 12.57%, bestEER 12.31%
9 epoch, LR 0.000784, LOSS 3.83119, ACC 50.99%, minDCF 0.4463%, EER 12.48%, bestEER 12.31%
10 epoch, LR 0.000760, LOSS 3.79701, ACC 51.59%, minDCF 0.4718%, EER 12.48%, bestEER 12.31%
11 epoch, LR 0.000737, LOSS 3.76645, ACC 52.25%, minDCF 0.4577%, EER 12.49%, bestEER 12.31%
12 epoch, LR 0.000715, LOSS 3.73205, ACC 52.74%, minDCF 0.4545%, EER 12.71%, bestEER 12.31%
